id;start_time;end_time;status;is_returned
1;2024-05-25T16:12:10;2024-05-26T06:09:30;Canceled;false
2;2024-05-25T19:50:11;2024-05-25T15:25:54;Refused;true
3;2024-05-25T21:13:04;2024-05-25T15:13:43;Pending;true
4;2024-05-25T17:30:56;2024-05-25T14:55:28;Pending;true
5;2024-05-25T17:50:29;2024-05-26T00:27:11;Pending;false
6;2024-05-26T04:26:00;2024-05-25T10:45:31;Pending;true
7;2024-05-26T05:36:44;2024-05-25T13:13:28;Confirmed;false
8;2024-05-25T17:23:32;2024-05-26T06:47:26;Pending;false
9;2024-05-26T05:53:49;2024-05-25T14:46:06;Confirmed;true
10;2024-05-25T21:38:33;2024-05-25T22:18:20;Refused;true
